,0
1391,"Hacking,Simulation,Singleplayer,Programming,Indie,Great Soundtrack,Puzzle,Typing,Story Rich,Cyberpunk,Atmospheric,2D,Adventure,Sci-fi,Casual,Strategy,Education,Difficult,Multiplayer,Horror"
1392,"Strategy,Wargame,Historical,Turn-Based,Indie,Simulation,Grand Strategy,Alternate History,Singleplayer,PvP,Turn-Based Strategy,Kickstarter,Remake,PvE,Crowdfunded"
1393,"Early Access,Simulation,Management,Strategy,Building,Early Access,Indie,Sandbox,Singleplayer,Economy,Game Development,Software"
1394,"Simulation,Casual,Pinball"
1395,"Indie,RPG,Surreal,Abstract,RPGMaker,Great Soundtrack,Atmospheric,JRPG,Psychedelic,Singleplayer"
1396,"Indie,Exploration,Puzzle,Abstract,Adventure,Space,First-Person,Sci-fi,Open World,Walking Simulator,Procedural Generation,Minimalist,Surreal,Great Soundtrack,Colorful,Experimental,Cult Classic"
1397,"Action,Indie,Casual,Sexual Content,Dark,2D Fighter,Anime"
1398,"Strategy,Fantasy,Turn-Based,Turn-Based Strategy,Singleplayer"
1399,"Indie,Casual,Twin Stick Shooter,Shoot 'Em Up,Arcade,Bullet Hell"
1400,"Adventure,Casual,Indie"
1401,"Casual,Match 3,Indie,Strategy,Action,RPG,Puzzle,Pixel Graphics,Singleplayer,2D,Great Soundtrack,Retro,Touch-Friendly,Rogue-lite,Rogue-like,Dungeon Crawler,Replay Value,Difficult,Family Friendly,Fantasy"
1402,"Casual,Strategy,Puzzle,Match 3,Indie,Cute,Singleplayer,Addictive"
1403,"RPG,Indie,Adventure,RPGMaker,JRPG,Casual,Point & Click"
1404,"Strategy,Turn-Based,Action,Turn-Based Strategy,Adventure,Tactical,Singleplayer,Early Access,Indie,Turn-Based Tactics"
1405,"Indie,Action,Psychological Horror,Adventure,Horror,Puzzle,Female Protagonist,Atmospheric,Great Soundtrack,Difficult,Retro,Puzzle-Platformer,Surreal"
1406,"Indie,RPG,Adventure,Cute,Open World,Action-Adventure"
1407,"Indie,Horror,Action,First-Person,Adventure,Atmospheric,Walking Simulator,Short,Singleplayer"
1408,"RPG,RPGMaker,Indie,Adventure,Anime,JRPG,Fantasy,Exploration,Replay Value,Singleplayer,Female Protagonist,Great Soundtrack,2D,Casual,Strategy,Turn-Based,Pixel Graphics,Epic,Dark Humor,Funny"
1409,"Indie,Action,Zombies"
1410,"Family Friendly,Casual,Adventure,Indie,Point & Click,Cute,Anime,Atmospheric"
1411,"Indie,Zombies,Pixel Graphics,Point & Click,RPGMaker,Survival,Female Protagonist,Adventure"
1412,"Adventure,Casual,Family Friendly,Indie,Memes,Singleplayer,Cute,Point & Click,Great Soundtrack,Story Rich"
1413,"Casual,Indie,Strategy,Education,Cute,Science,Management"
1414,"Strategy,Indie,Rogue-like,Turn-Based,Co-op,Puzzle"
1415,"Anime,Indie,Casual,Action,Adventure,Vampire,Female Protagonist,Puzzle,Puzzle-Platformer,2D,Visual Novel,Cute,Platformer"
1416,"Strategy,Classic,RTS,Action,Masterpiece,Retro,Robots,Comedy,Singleplayer,Old School,Zombies,2D"
1417,"Indie,Adventure,RPG"
1418,"Visual Novel,Indie,Adventure,Casual,Horror,Anime,Female Protagonist,Psychological Horror,Mystery,Story Rich,Otome"
1419,"Action,Indie,Top-Down Shooter,Fast-Paced,Rogue-like,Rogue-lite,Pixel Graphics"
1420,"Action,Indie,Arcade,Arena Shooter,Singleplayer,Horror,Shooter"
1421,"Action,Indie,Vampire,Horror"
1422,"Indie,Adventure,Visual Novel,Anime,Puzzle-Platformer,Sci-fi"
1423,"Adventure,Indie,Casual,Point & Click,Singleplayer,Female Protagonist,Funny,Great Soundtrack,Crowdfunded,3D"
1424,"Strategy,Indie,Zombies,Action,Survival,Top-Down,Multiplayer,Singleplayer,Crafting,Post-apocalyptic,Real Time Tactics,Procedural Generation,2D"
1425,"Strategy,Indie,Action,Tower Defense"
1426,"Indie,Adventure,Action,Platformer,Difficult,2D,Space,Retro,Fast-Paced,Pixel Graphics,Singleplayer"
1427,"Casual,Agriculture,Puzzle,Singleplayer"
1428,"Free to Play,Card Game,Indie,Strategy,Massively Multiplayer,Trading Card Game,Multiplayer"
1429,"Casual,Indie,Puzzle,Physics,2.5D,Atmospheric,Singleplayer,Difficult,Family Friendly"
1430,"Indie,Platformer,Adventure,Horror,Action,Atmospheric,2D,Side Scroller,Physics,Puzzle"
1431,"Indie,Casual,Puzzle-Platformer,Difficult,Singleplayer"
1432,"Rogue-like,RPG,Indie,Turn-Based,Adventure,Difficult"
1433,"Early Access,Indie,Adventure,RPG,Action,Early Access"
1434,"Indie,Casual"
1435,"Adventure,Indie,Casual,Simulation"
1436,"Simulation,Building,Singleplayer,Masterpiece"
1437,"Indie,Adventure,Action,Co-op,Multiplayer,Horror,Survival Horror"
1438,"Simulation,Racing,Driving,Agriculture"
1439,"Action,Indie,Strategy,Tower Defense"
1440,"Action,Casual,Adventure,Indie,Platformer"
1441,"Strategy,Indie,Turn-Based Strategy,Turn-Based"
1442,"Strategy,Indie,Casual"
1443,"Pirates,Naval,Adventure,Sandbox,Indie,Multiplayer,RPG,Action,Trading,Open World,Strategy,Co-op,Singleplayer,Procedural Generation,Exploration,Sailing,Choose Your Own Adventure,MMORPG,Great Soundtrack,Economy"
1444,"Early Access,Software Training,Design & Illustration,Utilities,Animation & Modeling,Education,Early Access,Game Development"
1445,"Western,Action,Indie,Multiplayer,MOBA,Isometric,Shooter,Twin Stick Shooter,Fighting,Early Access,Adventure,PvP"
1446,"Racing,Action,Classic,Indie,Gore,1990's,Masterpiece,Retro,Multiplayer,Singleplayer,Great Soundtrack"
1447,"Racing,Action,Indie,Gore,Multiplayer,Classic,Singleplayer"
1448,"Golf,Sports,Simulation,Singleplayer,Multiplayer,Level Editor,Early Access,Procedural Generation"
1449,"Racing,Offroad,Action,Arcade,Multiplayer,Split Screen,Local Multiplayer"
1450,"Indie,Platformer,Co-op,Difficult,3D Platformer"
1451,"Early Access,Action,Indie,Adventure,Early Access,RPG,Zombies,Pixel Graphics,Multiplayer,Twin Stick Shooter"
1452,"Casual,Action,Indie,Adventure,Co-op,Aliens,Multiplayer,Survival,Top-Down Shooter,Horror,Top-Down,Singleplayer,Shooter,Local Co-Op,Arcade"
1453,"Nudity,Anime,Mature,Sexual Content,Visual Novel,Dating Sim,Indie,Singleplayer,Cute,Casual,Story Rich,Romance,Memes,2D,Illuminati,FPS,Masterpiece,Walking Simulator,Adventure,Action"
1454,"Strategy,RPG,Simulation"
1455,"Exploration,Open World,Survival,Walking Simulator,Adventure,Indie,Atmospheric,Nature,Post-apocalyptic,First-Person,Great Soundtrack,Masterpiece,Beautiful"
1456,"Indie,Adventure,Point & Click,Casual,Puzzle,Female Protagonist,Cute,Hand-drawn,Great Soundtrack,Singleplayer,Atmospheric,Family Friendly,Funny,2D,Relaxing,Third Person,Hidden Object,Minimalist,Story Rich,Cartoon"
1457,"Local Multiplayer,Action,Indie,Great Soundtrack,Mechs,4 Player Local"
1458,"Horror,Indie,Atmospheric,Adventure,Puzzle,Point & Click,Story Rich,Surreal,Dark,Singleplayer,Short,Walking Simulator,Great Soundtrack,Mythology,Masterpiece,Psychological Horror"
1459,"Indie,3D Platformer,Puzzle-Platformer,Platformer"
1460,"RPG,Post-apocalyptic,Sci-fi"
1461,"Action,Horror,Cult Classic,Singleplayer,Third Person,Adventure,Dark,Classic,Atmospheric,Great Soundtrack,1990's,Supernatural,Metroidvania,Comic Book"
1462,"Strategy,Action,Indie"
1463,"Action,Indie,Casual,Arcade,Flight,Shooter,Singleplayer"
1464,"Casual,Indie,Simulation,Multiple Endings,RPG,Adventure,Choose Your Own Adventure,Singleplayer,Choices Matter,Cute,Short,Comedy,Family Friendly,Story Rich,Text-Based,Point & Click,Funny,Visual Novel"
1465,"RPG,Indie,Isometric,Turn-Based,Fantasy,Old School,CRPG"
1466,"RPG,Indie,Isometric,Strategy,Turn-Based Combat,Fantasy,Turn-Based,Old School,Story Rich,Singleplayer,CRPG"
1467,"RPG,Indie,Isometric,Party-Based RPG,Turn-Based,Old School,Turn-Based Combat,CRPG,Fantasy"
1468,"RPG,Indie,Strategy,Turn-Based Combat,Isometric,Turn-Based,Fantasy"
1469,"RPG,Indie,Strategy,Turn-Based Combat,Isometric,Old School"
1470,"Match 3,Indie,Puzzle,Casual,Pixel Graphics,RPG,Mouse only,Singleplayer,Retro,Action,Touch-Friendly,Addictive,2D,Fantasy,Strategy,Great Soundtrack,Rogue-lite,Dungeon Crawler,Rogue-like,Family Friendly"
1471,"Indie,Casual,Arcade"
1472,"Short,Indie,Adventure,First-Person,Experimental,Great Soundtrack,Casual,Experience,Walking Simulator,Singleplayer,Story Rich,Exploration,Atmospheric,Surreal"
1473,"Action,FPS,Classic,First-Person,1990's,Retro,Shooter"
1474,"Indie,Action,Puzzle,Retro"
1475,"Indie,Action,Platformer,Puzzle-Platformer"
1476,"Free to Play,Indie,Pixel Graphics,Platformer,2D,Action,Female Protagonist,Singleplayer,Cute,Shooter,Great Soundtrack,Short,Controller,Difficult,Fantasy,Side Scroller"
1477,"Indie,Casual,Platformer,Puzzle,Short"
1478,"Casual,Indie,Adventure,Point & Click,Psychological Horror,Music,Funny,Detective,Comedy,Short"
1479,"Indie,Casual,Shoot 'Em Up"
1480,"Adventure,Simulation,FMV,Horror,Puzzle,1990's,Point & Click"
1481,"Action,Vampire,Female Protagonist,Third Person,Hack and Slash,Singleplayer,Gore,Horror,Third-Person Shooter,World War II,Supernatural,Cult Classic"
1482,"Action,Vampire,Female Protagonist,Gore,Hack and Slash,Third Person,Singleplayer,Horror,Nudity,Third-Person Shooter,Classic"
1483,"Adventure,Indie,Platformer,Puzzle,Time Manipulation,Short,Time Travel,2D"
1484,"Horror,Indie,Adventure,Female Protagonist,Action,2D,Pixel Graphics,Survival Horror,Atmospheric,Psychological Horror,Singleplayer,Side Scroller,Dark"
1485,"Action,Shooter,Top-Down,Indie,Local Co-Op,Top-Down Shooter,Gore,RPG,Classic,Co-op,Survival,Shoot 'Em Up,Twin Stick Shooter,Arcade,Sci-fi,Zombies,2D,Masterpiece,Local Multiplayer,Post-apocalyptic"
1486,"RPG,Strategy,Indie,Rogue-like,Perma Death,Fantasy,Turn-Based,Hex Grid,Procedural Generation"
1487,"Bullet Hell,Shoot 'Em Up,Indie,Action,Arcade,Great Soundtrack,Shooter"
1488,"Indie,Short,Casual,Experimental,Singleplayer,First-Person,Simulation,Narration,Story Rich"
1489,"Action,Indie,Shoot 'Em Up,Twin Stick Shooter"
1490,"Action,Indie,Platformer,Casual,Adventure,Singleplayer,Retro"
1491,"Indie,Casual,Strategy,Puzzle,Puzzle-Platformer,Great Soundtrack"
1492,"RPG,Post-apocalyptic,Lovecraftian"
1493,"RPG,Post-apocalyptic"
1494,"Strategy,Indie,RTS,Space"
1495,"Indie,Action,First-Person,Abstract,Runner,Great Soundtrack,Local Multiplayer,Parkour,Minimalist,Platformer,Arcade,Cult Classic"
1496,"Adventure,Casual,Point & Click,Pirates,Funny"
1497,"Adventure,Action,Indie,Puzzle-Platformer,Female Protagonist,Horror,3D Platformer"
1498,"Bullet Hell,Shoot 'Em Up,Anime,Indie,Action,Female Protagonist,Shooter,2D,Local Co-Op,Co-op,Arcade,Local Multiplayer,Nudity"
1499,"Bullet Hell,Shoot 'Em Up,Anime,Indie,Action,2D,Female Protagonist,Shooter,Arcade,Great Soundtrack"
1500,"Horror,Adventure,FMV,Point & Click,Gore,Classic,Dark Humor,Violent,Masterpiece,Satire,Cult Classic,Singleplayer,1990's,Retro,Story Rich,Comedy,Puzzle,Funny"
1501,"Bullet Hell,Shoot 'Em Up,Indie,Anime,Action,Female Protagonist,Shooter,Arcade"
1502,"Action,Adventure,Indie,RTS,Space,Sci-fi,FPS"
1503,"Action,Casual,Indie,Platformer,Retro,Pixel Graphics,2D,Gore,Violent,Great Soundtrack,Horror,Arcade,Demons,1990's,1980s,Difficult,Dark Fantasy,Singleplayer,Local Co-Op,Local Multiplayer"
1504,"Indie,Action,Racing,Physics,Puzzle,Puzzle-Platformer,2D"
1505,"Racing,Sports,Indie,Fast-Paced,Multiplayer"
1506,"Indie,Casual,Action,Adventure,Platformer,Procedural Generation,Rogue-like,Level Editor,Pixel Graphics,Difficult,Rogue-lite,Racing,2D,Sandbox,Destruction,Puzzle,Singleplayer"
1507,"Strategy,Casual,Indie,Board Game,Singleplayer,Multiplayer"
1508,"Indie,Adventure,Casual,Platformer,Puzzle-Platformer"
1509,"Action,Indie,Platformer,Retro,Pixel Graphics,Side Scroller"
1510,"Indie,Strategy,Action,Puzzle,Sci-fi,Robots,Isometric"
1511,"Adventure,Hidden Object,Puzzle,Point & Click,Casual,Singleplayer"
1512,"Indie,Psychedelic,Abstract"
1513,"Action,RPG,Indie,Rogue-like,Dungeon Crawler,Rogue-lite,Shooter,Top-Down,Procedural Generation,Action RPG,Pixel Graphics,Shoot 'Em Up,2D"
1514,"Action,Adventure,Platformer,Pixel Graphics,Voxel"
1515,"Indie,Action,Shooter,Singleplayer,Co-op,Controller,2D,Sci-fi,Atmospheric,Top-Down,Great Soundtrack,Arcade,Third Person,Psychedelic,Twin Stick Shooter,Local Multiplayer,Difficult"
1516,"Horror,Indie,Point & Click,Comedy,Adventure,Masterpiece,Singleplayer"
1517,"Indie,Action,Rhythm,Music,Shoot 'Em Up,Sci-fi,Retro,Arcade,Great Soundtrack"
1518,"Game Development,Web Publishing,RPGMaker,RPG"
1519,"Strategy,Tower Defense,Action"
1520,"Racing,Indie,Casual,Multiplayer,Horses"
1521,"Indie,Strategy,Tower Defense,Music"
1522,Music
1523,"Casual,Puzzle,Strategy,Indie,Relaxing"
1524,"Racing,Casual,Adventure"
1525,"Indie,Platformer,Pixel Graphics"
1526,"Action,Indie,Retro,Platformer,Difficult,Funny,Pixel Graphics,2D"
1527,"Action,Indie,Adventure,RPG,Rogue-like,Perma Death,Procedural Generation,Dungeon Crawler"
1528,"Indie,Strategy,Casual,Puzzle,Match 3,Pixel Graphics,Fantasy,2D,Villain Protagonist,Singleplayer,Tower Defense,Dark Humor,Retro,Medieval"
1529,"Indie,Casual,Adventure,Simulation,Walking Simulator,Psychedelic"
1530,"Parkour,Action,Indie,Platformer,Singleplayer,2D,Runner,Touch-Friendly,Adventure,Masterpiece"
1531,"Adventure,Indie,Casual,Walking Simulator,Sci-fi"
1532,"Casual,Indie,Music"
1533,"Casual,Adventure,Hidden Object,Puzzle"
1534,"Fighting,Anime,2D Fighter,Great Soundtrack,Action,Arcade,Multiplayer,e-sports,Singleplayer,Story Rich,2.5D,Competitive,Cute,Visual Novel"
1535,"Adventure,Point & Click,Indie,Puzzle,Comedy,Singleplayer,Short,Post-apocalyptic,Casual,Cute,Controller"
1536,"Action,Indie,Adventure,Twin Stick Shooter"
1537,"Strategy,Grand Strategy,Medieval,Historical,Singleplayer,Real-Time with Pause"
1538,"Action,RPG,Co-op,Tactical,Strategy,Indie,Survival,Multiplayer,Top-Down,Isometric,Sci-fi,Adventure,RTS,Kickstarter,Action RPG,Space,Horror,Aliens,Zombies,Strategy RPG"
1539,"Action,Indie,Platformer,Side Scroller,Robots,2D,2.5D,Metroidvania,Great Soundtrack,Sci-fi"
1540,"RPG,Tactical RPG,Strategy,Pixel Graphics,Indie,Turn-Based Tactics,Superhero,Turn-Based,Great Soundtrack,Turn-Based Combat,Management,Comedy,2D,Singleplayer,Memes,Funny,Isometric,Mechs,Simulation,Story Rich"
1541,"Simulation,Strategy,Indie,Management"
1542,"Indie,Casual,Action,Arcade"
1543,"Action,Indie,Strategy,Local Co-Op,Local Multiplayer,4 Player Local,Competitive,2D Fighter"
1544,"Strategy,Indie,RTS,War,Grand Strategy"
1545,"Indie,Action,RPG,Stealth,Steampunk,Platformer,Heist,Rogue-like,2D,Procedural Generation,Crime,Great Soundtrack,Rogue-lite"
1546,"Heist,Action,Strategy,Indie,Top-Down,Tactical,Crime,Stealth,Singleplayer,2D,Great Soundtrack,Retro,Loot,Puzzle,Early Access"
1547,"Strategy,Indie,Turn-Based,Tactical,Turn-Based Tactics,Historical,Turn-Based Strategy,Turn-Based Combat,Wargame,War,Hex Grid,Anime"
1548,"Indie,Adventure,Action,Difficult,Pixel Graphics"
1549,"Strategy,Adventure,RPG"
1550,"Strategy,Action,Adventure"
1551,"Action,RPG,Stealth"
1552,"Strategy,Sci-fi,Indie,Space,Horror,Rogue-like,Survival,Programming,Survival Horror,Atmospheric,Singleplayer,2D,Difficult,Typing,Hacking,Procedural Generation,Early Access,Puzzle,Simulation"
1553,"JRPG,RPG,Fantasy,Remake,Story Rich,Classic,Great Soundtrack,Singleplayer,Turn-Based,Adventure,Turn-Based Combat,Masterpiece,1990's,Anime,Difficult,Controller"
1554,"RPG,JRPG,Classic,Class-Based,Remake,Story Rich,Fantasy,2D,Great Soundtrack,Turn-Based Combat,Character Customization,Retro,1990's,Singleplayer,Anime,Turn-Based,Adventure"
1555,"City Builder,Strategy,Simulation,Indie,Management"
1556,"RPG,Adventure,Pixel Graphics,Strategy,Turn-Based,Indie,Simulation,Singleplayer,Fantasy,Funny,Comedy,Casual,2D"
1557,"RPG,Indie,RPGMaker,JRPG,Turn-Based,Puzzle,Pixel Graphics,Singleplayer,Classic"
1558,"City Builder,Strategy,Simulation,Steampunk,Building,Indie,Resource Management,Sandbox,Great Soundtrack,Isometric,Management,Singleplayer,Puzzle,Pixel Graphics,2D"
1559,"Strategy,Indie,RTS,Sci-fi"
1560,"Pixel Graphics,Stealth,Strategy,Indie,Great Soundtrack,Violent,Action,Villain Protagonist,Gore,Singleplayer,Dark Humor,Retro,2D,Crime,Difficult,Top-Down,Funny,Comedy,Horror,Story Rich"
1561,"Strategy,RPG,Indie,Turn-Based Strategy,Turn-Based,Turn-Based Tactics,Sci-fi,Tactical,Action,Aliens,Mechs,Turn-Based Combat,Singleplayer,Perma Death,Character Customization,Difficult,Atmospheric,Retro,Rogue-like,Rogue-lite"
1562,"Strategy,Indie,RTS,Adventure,Action,RPG,Sci-fi,Singleplayer,Fantasy,Atmospheric,Great Soundtrack,Story Rich,Tactical,Violent,Casual,Classic,War,Early Access"
1563,"RPG,Hack and Slash,Action,Mythology"
1564,"Visual Novel,Anime,Free to Play,Indie,Casual,Simulation,RPG,Adventure,e-sports,Nudity,Memes,Psychological Horror,Romance"
1565,"Local Multiplayer,Casual,Comedy,Indie,Local Co-Op,Strategy,Funny,Multiplayer,Board Game,Co-op,Family Friendly"
1566,"Action,Indie,Massively Multiplayer,Platformer,Rogue-like"
1567,"Early Access,Cyberpunk,RPG,Indie,FPS,Action,Early Access,Co-op,Online Co-Op,Hacking,Singleplayer,Multiplayer,First-Person,Rogue-like,PvP,Open World,Rogue-lite,Shooter,Great Soundtrack,Replay Value"
1568,"RPG,Indie,Space,Free to Play,Sci-fi"
1569,"Rogue-like,Indie,RPG,Action,Rogue-lite,Perma Death,Procedural Generation,2D,Difficult,Singleplayer,Adventure,Dungeon Crawler,Fantasy"
1570,"Rogue-like,Action,Indie,RPG,Adventure,Retro,Rogue-lite,Pixel Graphics,Dungeon Crawler,Difficult,Procedural Generation,Singleplayer,Top-Down,2D"
1571,"Indie,Action,Retro,Puzzle-Platformer,Platformer,Pixel Graphics"
1572,"Indie,Strategy,RPG,Turn-Based Tactics,Dungeon Crawler,Turn-Based"
1573,"Casual,Adventure,Simulation,Card Game"
1574,"Casual,Time Management,Strategy,Resource Management,Family Friendly,Management"
1575,"Racing,Indie,Casual,Massively Multiplayer,Competitive,Asynchronous Multiplayer,Multiplayer,Driving,Level Editor,Action"
1576,"Rogue-like,Pixel Graphics,Rogue-lite,RPG,Indie,Adventure,Platformer,Action,2D,Procedural Generation,Perma Death,Difficult,Online Co-Op,Local Co-Op,4 Player Local,Multiplayer,Co-op,Metroidvania,Early Access,Local Multiplayer"
1577,"Strategy,Indie,Singleplayer,Resource Management,Space,Casual,Tower Defense,RTS,Minimalist,Sci-fi"
1578,"Strategy,RPG,Medieval,Turn-Based,Indie,Story Rich,Turn-Based Strategy,Adventure,Singleplayer,Kickstarter,Fantasy,Early Access"
1579,"Management,Simulation,Strategy,Indie,Economy,Casual,Singleplayer,Building,Early Access"
1580,"Indie,Adventure,Gore,Horror,Short,Action"
1581,"Action,Adventure,Indie,Horror,Female Protagonist"
1582,"RPG,Adventure,Indie,Anime,Female Protagonist,RPGMaker"
1583,"Visual Novel,Anime,Adventure,Female Protagonist,Indie,Otome,Simulation,Casual,Mystery,Romance,Singleplayer,Dating Sim,Story Rich,Choose Your Own Adventure,Dark,Multiple Endings,Supernatural,Choices Matter,Detective,Interactive Fiction"
1584,"Anime,Visual Novel,Story Rich,Romance,Adventure,Singleplayer,Great Soundtrack,Cute,Nudity,Linear,Sci-fi,2D,Female Protagonist,Masterpiece,Sexual Content,Drama,Mature,Post-apocalyptic,Military"
1585,"Adventure,Indie,Visual Novel,Simulation,Otome,Anime,Female Protagonist"
1586,"Action,Indie,Shoot 'Em Up,Shooter,Arcade,Bullet Hell"
1587,"Shoot 'Em Up,Arcade,2D,Indie,Action"
1588,"RPGMaker,Anime,RPG,Indie,Adventure,Action,2D,Shoot 'Em Up,Pixel Graphics,Fantasy,Retro,Singleplayer,Open World,Great Soundtrack,Puzzle,Atmospheric,Shooter,Story Rich,Sci-fi,Zombies"
1589,"Early Access,Indie,Early Access,Survival,Open World,Crafting,Multiplayer,Co-op,Online Co-Op"
1590,"RPG,Indie,Casual,Rogue-like,Turn-Based"
1591,"Indie,Action,Adventure,Casual,Platformer"
1592,"Racing,Indie,Multiplayer,Local Multiplayer,Arcade"
1593,"Adventure,Indie"
1594,"Racing,Sports,Simulation"
1595,"Action,Third-Person Shooter,Singleplayer,Third Person,Shooter,Gore,Horror,Masterpiece"
1596,"Platformer,Female Protagonist,Metroidvania,Great Soundtrack,Action,2D,Adventure,Pixel Graphics,Anime,Indie,Cute,Singleplayer,Pirates,Funny,RPG,Side Scroller,Nudity,Sexual Content,Difficult"
1597,"Indie,Action,Zombies,Casual,Pixel Graphics,Great Soundtrack,Simulation,Gore,Isometric,Funny,Shooter"
1598,"Indie,Casual,Adventure,Action,Puzzle,Match 3"
1599,"Adventure,Casual,Strategy,Point & Click,Puzzle"
1600,"Casual,Indie,Action,Adventure,Platformer"
1601,"Indie,Strategy,Multiplayer,Singleplayer,Turn-Based Strategy,Tactical"
1602,"Action,Adventure,Puzzle,Female Protagonist,First-Person,Story Rich,FPS,Masterpiece"
1603,"Racing,Sports,Motocross,Simulation,Motorbike,ATV,Offroad,Multiplayer,Third Person"
1604,"Free to Play,Action,FPS,Indie,Multiplayer,Mod,First-Person,Team-Based,Class-Based,Shooter,Fast-Paced,Remake,Classic"
1605,"Adventure,Point & Click,Comedy,Fantasy,Singleplayer,Story Rich,Funny,Kickstarter,Great Soundtrack,Atmospheric,Puzzle"
1606,"Action,Indie,Physics,Minimalist,Platformer,Singleplayer,Abstract,2D,Fast-Paced,Great Soundtrack,Difficult,Short,Casual,Arena Shooter,Bullet Time,Time Manipulation,Soundtrack,Space,Atmospheric"
1607,"Tower Defense,Strategy,Indie,Singleplayer,Action,Top-Down,Fantasy,Tactical,2D,Difficult,Classic,Great Soundtrack"
1608,"Strategy,RPG,Turn-Based Strategy,Fantasy"
1609,"Strategy,RPG,Fantasy,Story Rich,Atmospheric,Mythology,Choose Your Own Adventure,Difficult,Cult Classic,Interactive Fiction,Classic,Adventure,Retro,Remake,Medieval,1990's,1980s,Board Game,Choices Matter"
1610,"Simulation,Action,World War I,Flight,Classic,Remake,Retro,Singleplayer"
1611,"Puzzle,Casual,Indie,Singleplayer,Logic,Strategy,Minimalist,Short,Relaxing,2D,Great Soundtrack,Hex Grid,Touch-Friendly,Difficult"
1612,"Walking Simulator,Indie,Casual,Simulation,RPG"
1613,"Free to Play,Indie,Adventure,Funny,Singleplayer,Short,Casual,Memes,Comedy,Open World,Horror,Multiplayer"
1614,"RPG,Card Game,Turn-Based Strategy,Turn-Based,Strategy,Fantasy,Turn-Based Tactics,Masterpiece,Tactical,Adventure,Classic,Indie,Atmospheric,Singleplayer,Great Soundtrack,Magic"
1615,"Strategy,Turn-Based Strategy,RPG,Turn-Based,Card Game,Classic,Tactical,Fantasy,Masterpiece,Turn-Based Tactics,Atmospheric,Trading Card Game"
1616,"Video Production,Audio Production,Utilities,Software Training,Action"
1617,"Pixel Graphics,Dungeon Crawler,Local Multiplayer,4 Player Local,Indie,Rogue-like,Local Co-Op,Action,RPG,Multiplayer,Great Soundtrack,Lovecraftian,2D,Fantasy,Co-op,Singleplayer,Gore,Rogue-lite,Horror,Adventure"
1618,"Design & Illustration,Utilities,Photo Editing,Animation & Modeling,Software"
1619,"Early Access,Indie,Action,Early Access,FPS,Rogue-like,Procedural Generation"
1620,"Indie,Adventure,Puzzle,First-Person,Horror,Psychological Horror,Singleplayer,Controller"
1621,"Racing,Indie,Action,Casual"
1622,"Walking Simulator,Indie,Female Protagonist,Adventure,Atmospheric,Singleplayer,Exploration,Third Person,Short"
1623,"Casual,Adventure,Family Friendly,Puzzle,2D"
1624,"Action,FPS,Classic,Tactical"
1625,"Gore,Violent,Action,Dark,Mature,Shooter,Indie,Isometric,Singleplayer,Villain Protagonist,Twin Stick Shooter,Psychological Horror,Open World,Horror,Third-Person Shooter,Dark Humor,Top-Down Shooter,Survival,Difficult,Masterpiece"
1626,"Puzzle,Indie,Rogue-like,Adventure,Turn-Based,Cute,Masterpiece,Difficult,Atmospheric,Singleplayer,Procedural Generation,Rogue-lite"
1627,"Platformer,Adventure,Remake,Casual,Family Friendly,Singleplayer,Classic,Great Soundtrack,Retro,Colorful,2.5D,2D,Short,Difficult"
1628,"Simulation,Management,Singleplayer,Nudity,Sexual Content"
1629,"Action,Indie,RPG,Local Co-Op"
1630,"Early Access,Indie,Adventure,Action,Early Access,Sandbox,Strategy,Open World,Singleplayer"
1631,"VR,Free to Play,Indie,Education,Action,Casual,Singleplayer,Sci-fi,Science,Exploration,Dynamic Narration,3D Vision,Funny,Comedy,Racing,Physics,Simulation,Space"
1632,"Adventure,Indie,Point & Click,Pixel Graphics"
1633,"Action,Indie,Adventure,Platformer"
1634,"Anime,Female Protagonist,Platformer,Action,Adventure,Singleplayer,Indie,Hack and Slash,Sci-fi,Cute,Fantasy"
1635,"Racing,Indie,Action,Arcade,Local Multiplayer,4 Player Local,VR,Top-Down,Multiplayer"
1636,"Strategy,Indie,RPG,Sci-fi"
1637,"Adventure,Detective,Point & Click,Indie,Mystery,Singleplayer,Puzzle,Casual,Short,Cartoony,2D,Kickstarter,Funny"
1638,"RPG,Fantasy,Party-Based RPG,Real-Time with Pause,Atmospheric,Singleplayer,Adventure,CRPG,Third Person,Dark Fantasy,Character Customization,Story Rich,Turn-Based,Magic"
1639,"Adventure,Indie,Casual"
1640,"Action,Indie,FPS,Steampunk,Multiplayer,Shooter,Fantasy,First-Person,Fast-Paced,Colorful,Atmospheric"
1641,"Simulation,Strategy,Management,Economy,Casual"
1642,"RPG,Indie,Isometric,Dark Fantasy,Violent,Gore,Singleplayer,Fantasy,Story Rich,Medieval,CRPG,Difficult,Dark"
1643,"Adventure,Point & Click"
1644,"Casual,Action,Indie,Match 3,Arcade,Puzzle"
1645,"Action,Adventure,Indie,Platformer"
1646,"Action,Indie,FPS,Mechs"
1647,"Strategy,Action,Indie,RTS"
1648,"Strategy,Tower Defense,Indie,Action,Adventure"
1649,"Strategy,Indie,2D"
1650,"Horror,Adventure,Indie,Psychological Horror,Puzzle,Singleplayer,2D,Side Scroller,Atmospheric,Dark,Great Soundtrack"
1651,"RPG,RPGMaker"
1652,"Simulation,Action,Indie,Space,Space Sim,Sci-fi"
1653,"Action,Indie,Adventure,Platformer,Dog,Metroidvania,2D"
